incident_id,server_id,app_id,feedback,timestamp
inc285,srv0086,app008,ignored,2025-03-23 07:42:55
inc117,srv0322,app011,ignored,2025-03-23 07:42:55
inc114,srv1004,app010,rejected,2025-03-23 07:42:55
inc043,srv0530,app010,rejected,2025-03-23 07:42:55
inc127,srv1663,app011,rejected,2025-03-23 07:42:55
inc232,srv1264,app014,ignored,2025-03-23 07:42:55
inc182,srv1073,app020,accepted,2025-03-23 07:42:55
inc279,srv0666,app005,ignored,2025-03-23 07:42:55
inc338,srv1590,app007,rejected,2025-03-23 07:42:55
inc026,srv0704,app013,rejected,2025-03-23 07:42:55
inc125,srv1027,app004,ignored,2025-03-23 07:42:55
inc222,srv1513,app001,accepted,2025-03-23 07:42:55
inc262,srv1985,app016,rejected,2025-03-23 07:42:55
inc156,srv0493,app012,ignored,2025-03-23 07:42:55
inc110,srv0507,app003,ignored,2025-03-23 07:42:55
inc173,srv1401,app009,ignored,2025-03-23 07:42:55
inc119,srv1402,app018,ignored,2025-03-23 07:42:55
inc326,srv0721,app006,accepted,2025-03-23 07:42:55
inc267,srv0846,app004,rejected,2025-03-23 07:42:55
inc010,srv1492,app018,accepted,2025-03-23 07:42:55
inc281,srv0506,app014,accepted,2025-03-23 07:42:55
inc056,srv1359,app013,accepted,2025-03-23 07:42:55
inc166,srv1111,app003,ignored,2025-03-23 07:42:55
inc120,srv0721,app018,rejected,2025-03-23 07:42:55
inc145,srv0282,app001,rejected,2025-03-23 07:42:55
inc091,srv1042,app018,accepted,2025-03-23 07:42:55
inc109,srv0082,app008,rejected,2025-03-23 07:42:55
inc211,srv0848,app002,accepted,2025-03-23 07:42:55
inc140,srv0311,app017,accepted,2025-03-23 07:42:55
inc315,srv1767,app017,rejected,2025-03-23 07:42:55
inc177,srv0283,app019,rejected,2025-03-23 07:42:55
inc040,srv1120,app002,rejected,2025-03-23 07:42:55
inc105,srv0938,app008,accepted,2025-03-23 07:42:55
inc317,srv1913,app019,rejected,2025-03-23 07:42:55
inc079,srv1352,app011,ignored,2025-03-23 07:42:55
inc006,srv1404,app010,ignored,2025-03-23 07:42:55
inc301,srv0221,app002,rejected,2025-03-23 07:42:55
inc330,srv1521,app019,accepted,2025-03-23 07:42:55
inc111,srv1889,app002,ignored,2025-03-23 07:42:55
inc077,srv1746,app008,accepted,2025-03-23 07:42:55
inc085,srv1777,app017,accepted,2025-03-23 07:42:55
inc004,srv0479,app001,accepted,2025-03-23 07:42:55
inc159,srv0874,app007,accepted,2025-03-23 07:42:55
inc229,srv0054,app004,rejected,2025-03-23 07:42:55
inc047,srv1495,app016,accepted,2025-03-23 07:42:55
inc316,srv0061,app005,accepted,2025-03-23 07:42:55
inc287,srv1506,app003,rejected,2025-03-23 07:42:55
inc297,srv1076,app019,ignored,2025-03-23 07:42:55
inc074,srv0796,app006,rejected,2025-03-23 07:42:55
inc034,srv0680,app010,ignored,2025-03-23 07:42:55
inc320,srv0476,app018,ignored,2025-03-23 07:42:55
inc183,srv1863,app018,rejected,2025-03-23 07:42:55
inc204,srv1802,app017,accepted,2025-03-23 07:42:55
inc083,srv0040,app003,accepted,2025-03-23 07:42:55
inc064,srv1617,app010,rejected,2025-03-23 07:42:55
inc198,srv1092,app003,ignored,2025-03-23 07:42:55
inc058,srv0090,app006,rejected,2025-03-23 07:42:55
inc333,srv0396,app008,rejected,2025-03-23 07:42:55
inc336,srv0322,app003,ignored,2025-03-23 07:42:55
inc046,srv1276,app006,ignored,2025-03-23 07:42:55
inc306,srv0385,app011,accepted,2025-03-23 07:42:55
inc307,srv1490,app015,rejected,2025-03-23 07:42:55
inc318,srv0780,app020,accepted,2025-03-23 07:42:55
inc174,srv1639,app015,accepted,2025-03-23 07:42:55
inc209,srv1803,app009,ignored,2025-03-23 07:42:55
inc073,srv0137,app002,ignored,2025-03-23 07:42:55
inc076,srv1358,app003,accepted,2025-03-23 07:42:55
inc017,srv1944,app019,rejected,2025-03-23 07:42:55
